Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,1,0,0,0,0,0,1,0,0,0,,25,19:03
2,Travis Dermott,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,26,17:58
3,Jake Gardiner,0,0,0,3,4,0,0,0,0,0,0,0,3,0.0,30,21:32
4,Frederik Gauthier,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,9:15
5,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,29,21:50
6,Andreas Johnsson,1,1,2,3,2,1,0,0,0,1,0,0,3,33.3,22,15:40
7,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,13:37
8,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,22,16:05
9,Pär Lindholm,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,10:03
10,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,14:45
11,Mitch Marner,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,19:20
12,Auston Matthews,1,2,3,3,0,1,0,0,0,2,0,0,3,33.3,22,15:45
13,Trevor Moore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,9:21
14,William Nylander,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,22,14:38
15,Igor Ozhiganov,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,23,16:18
16,Morgan Rielly,0,1,1,3,0,0,0,0,0,1,0,0,6,0.0,28,20:53
17,John Tavares,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,22,16:04
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,0,,30,21:53
19,Michael Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
