,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,-additional
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,-9999
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,16:57,brownco02
2,Travis Dermott,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,17:58,dermotr01
3,Tyler Ennis,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,15:55,ennisty01
4,Jake Gardiner,0,1,1,1,0,0,0,0,0,1,0,0,0,,25,22:29,gardija01
5,Ron Hainsey,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,28,20:08,hainsro01
6,Zach Hyman,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,14:55,hymanza01
7,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:26,johnsan01
8,Nazem Kadri,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,21,17:03,kadrina01
9,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:04,kapanka01
10,Josh Leivo,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,11:49,leivojo01
11,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:03,lindhpa01
12,Patrick Marleau,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,26,16:51,marlepa01
13,Mitch Marner,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,18:35,marnemi01
14,Auston Matthews,2,0,2,0,0,1,1,0,1,0,0,0,3,66.7,26,17:29,matthau01
15,Igor Ozhiganov,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,13:01,ozhigig01
16,Morgan Rielly,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,27,20:06,riellmo01
17,John Tavares,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,26,18:04,tavarjo01
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,22:47,zaitsni01
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,61:01,anderfr01
,TOTAL,3,6,9,,8,2,1,0,,,,,26,11.5,,,-9999
